00:03:05,00,27,7
00:07:57,00,27,6
00:12:48,00,30,6
00:17:39,00,29,7
00:22:30,00,32,7
00:27:21,00,32,7
00:32:13,00,27,6
00:37:04,00,32,7
00:41:55,00,29,7
00:46:46,00,27,7
00:51:37,00,30,6
00:56:29,00,35,6
01:01:22,01,29,5
01:06:13,01,30,4
01:11:04,01,25,7
01:15:55,01,33,8
01:20:46,01,31,7
01:25:37,01,29,7
01:30:29,01,32,6
01:35:20,01,33,7
01:40:11,01,33,8
01:45:03,01,35,7
01:49:54,01,35,6
01:54:45,01,36,7
01:59:38,01,34,5
02:04:31,02,34,5
02:09:22,02,35,8
02:14:13,02,28,8
02:19:05,02,32,7
02:23:57,02,34,5
02:28:48,02,29,9
02:33:39,02,37,9
02:38:30,02,34,8
02:43:21,02,32,7
02:48:12,02,32,8
02:53:04,02,33,7
02:57:56,02,33,8
03:02:47,03,36,8
03:07:39,03,37,8
03:12:30,03,29,8
03:17:22,03,36,7
03:22:14,03,40,8
03:27:05,03,39,9
03:31:57,03,26,9
03:36:48,03,35,8
03:41:39,03,37,9
03:46:30,03,36,9
03:51:21,03,37,8
03:56:13,03,35,8
04:01:05,04,33,8
04:05:56,04,35,9
04:10:46,04,34,8
04:15:37,04,33,9
04:20:30,04,31,8
04:25:21,04,36,9
04:30:12,04,29,9
04:35:04,04,33,9
04:39:55,04,35,9
04:44:47,04,36,8
04:49:39,04,28,8
04:54:30,04,31,7
04:59:21,04,35,9
05:04:12,05,33,9
05:09:03,05,33,9
05:13:55,05,35,9
05:18:46,05,35,9
05:23:36,05,34,10
05:28:27,05,35,9
05:33:18,05,34,9
05:38:09,05,29,9
05:43:01,05,35,9
05:47:52,05,34,10
05:52:43,05,34,9
05:57:34,05,31,9
06:02:25,06,30,9
06:07:17,06,32,9
06:12:08,06,29,9
06:17:00,06,26,8
06:21:52,06,25,6
06:26:42,06,28,9
06:31:34,06,31,9
06:36:25,06,30,9
06:41:16,06,31,9
06:46:07,06,30,9
06:50:58,06,31,9
06:55:49,06,30,8
07:00:40,07,33,9
07:05:32,07,35,9
07:10:23,07,22,10
07:15:13,07,31,9
07:20:05,07,30,9
07:24:56,07,30,9
07:29:47,07,28,7
07:34:40,07,16,6
07:39:31,07,32,9
07:44:24,07,23,8
07:49:15,07,26,9
07:54:06,07,21,9
07:58:58,07,30,8
08:03:49,08,20,9
08:08:40,08,7,9
08:13:31,08,18,9
08:18:22,08,20,9
08:23:14,08,23,8
08:28:05,08,23,9
08:32:56,08,27,8
08:37:48,08,18,8
08:42:40,08,28,7
08:47:31,08,18,7
08:52:23,08,17,7
08:57:14,08,19,10
09:02:05,09,15,7
09:06:57,09,25,8
09:11:48,09,26,9
09:16:39,09,27,7
09:21:31,09,29,8
09:26:22,09,26,7
09:31:13,09,14,7
09:36:05,09,23,7
09:40:57,09,24,6
09:45:48,09,27,7
09:50:39,09,29,6
09:55:30,09,20,7
10:00:22,10,30,7
10:05:13,10,31,6
10:10:05,10,29,7
10:14:56,10,36,8
10:19:47,10,33,7
10:24:38,10,30,7
10:29:29,10,32,8
10:34:21,10,40,8
10:39:12,10,36,8
10:44:03,10,28,9
10:48:55,10,40,9
10:53:46,10,22,7
10:58:38,10,24,7
11:03:29,11,22,8
11:08:20,11,27,7
11:13:11,11,30,7
11:18:03,11,31,7
11:22:55,11,26,6
11:27:46,11,20,7
11:32:37,11,24,8
11:37:28,11,24,8
11:42:20,11,34,6
11:47:11,11,18,8
11:52:04,11,29,6
11:56:55,11,31,7
12:01:48,12,19,7
12:06:38,12,19,7
12:11:30,12,33,8
12:16:20,12,30,7
12:21:12,12,26,7
12:26:03,12,36,6
12:30:55,12,23,6
12:35:47,12,29,7
12:40:39,12,19,6
12:45:31,12,24,5
